prior	after smooth	after rf
-5.276351511	0.343353357	0.148902527
-4.3636388	-1.126019501	-0.220554975
-0.967800351	0.672831587	0.144647064
-4.239460201	-1.189504107	-0.524346689
-4.019567518	-0.130289711	-0.592721856
-5.189113151	-0.017412235	0.296930136
-3.043264565	0.854106471	-0.081676465
-3.653022994	-0.223806514	1.015529719
-4.549139849	-0.941662948	0.885087096
-4.757773936	-0.053447425	0.049873671
-4.132920008	-0.142933814	0.014227101
-5.383971392	-0.575121422	-0.62618196
-4.347016885	1.005780791	-0.296017755
-3.524413112	-0.715336584	0.710827712
-3.019251994	0.033249114	0.190588052
-3.967191376	-0.611765346	-1.735841972
-4.668651898	0	0.158473033
-4.373961546	0.019734517	0.246794485
-4.222125623	0.005426166	-0.49237562
-3.830178299	2.943034104	0.528542323
-3.643212118	0.705781901	0.034523408
-3.716358902	-0.373543577	-0.054114377
-3.939521211	0.160416415	0.486417256
-4.758344546	-0.20679776	-0.370188072
-4.182614047	0.547762044	-0.055347711
-4.811715797	1.162288054	1.454120648
-3.82469211	0.958528122	-0.090607136
-4.769439167	-0.918441293	0.138819701
-5.435462994	-0.138369277	-0.025355368
-2.50533481	1.086210604	-0.420349532
-3.967191376	-0.605637172	0.211046071
-4.750235706	0.838953846	-0.374572505
-4.373710566	-0.725163515	0.525525997
-2.965876635	-0.200833665	-0.133526306
-4.788181629	-0.480701381	0.544316435
-3.871458077	2.799336499	-0.261628935
0.213250436	0.701013104	-0.6195956
-4.021032856	1.6688383	0.578277771
-4.692453891	0.213574641	-0.405791817
-4.458388787	-0.85194395	-0.081748693
-4.3825241	1.10954109	0.813964398
-3.330500303	-0.074751124	-1.430638988
-3.953332404	-0.921035275	-0.146402123
-3.676463419	0.57419194	1.128982735
0.148283091	-0.529336426	0.274798335
-4.507355533	0.011261702	0.305202984
-4.384769129	1.061658077	-0.911424027
-2.240919526	-0.171676679	-0.005308206
-1.775934105	0.748457012	-0.272002324
-3.699544893	-0.308539949	-1.053299032
-3.291599607	-0.164910455	-0.170853959
